Date,Dow-style reconstruction,Official DJIA
2024-01-02,100.0,100.0
2024-01-03,99.15635104047276,99.24473721006106
2024-01-04,99.15537877114373,99.27164540836142
2024-01-05,99.25436384147353,99.33997234607796
2024-01-08,99.91307307930836,99.91508070905898
2024-01-09,99.55012063081718,99.4965432597449
2024-01-10,100.0690789388848,99.94880399376493
2024-01-11,100.12852070372514,99.9893423648764
2024-01-12,99.92853279535275,99.67636625392929
2024-01-16,99.31206391981884,99.06159988814144
2024-01-17,99.10689070304782,98.81117135592255
2024-01-18,99.72025803366114,99.34660100154841
2024-01-19,100.7385420298374,100.39443607231449
2024-01-22,101.11708336940136,100.76035856883186
2024-01-23,100.87124997603333,100.50486532954257
2024-01-24,100.63494320900212,100.24221521380004
2024-01-25,101.23234122872422,100.88582658815852
2024-01-26,101.46730951714132,101.0457118295607
2024-01-29,102.19028313955764,101.63969114608417
2024-01-30,102.49151680927919,101.99461421743025
2024-01-31,101.5714306710943,101.15407998922844
2024-02-01,102.63594863752252,102.13389884050315
2024-02-02,103.27162445712906,102.49073800757117
2024-02-05,102.53761712370395,101.76343985789819
2024-02-06,102.86951872467857,102.13792782015629
2024-02-07,103.36223773099661,102.55155592151257
2024-02-08,103.52132061912306,102.68139471054008
2024-02-09,103.48460053693707,102.53652751668815
2024-02-12,103.69833572807384,102.8697831704652
2024-02-13,102.32601805737977,101.47874946271641
2024-02-14,102.82694006206799,101.88049777059673
2024-02-15,103.65181306635613,102.80546449785345
2024-02-16,103.22008592521891,102.42065033324529
2024-02-20,102.92504286311332,102.25045960404141
2024-02-21,103.12479520949145,102.37888980378145
2024-02-22,104.66567515422713,103.5902662337326
2024-02-23,104.84794137530754,103.75577547501048
2024-02-26,105.36777788099268,103.59058730923195
2024-02-27,105.20024493914794,103.33387191159031
2024-02-28,105.19069955240052,103.27185255384488
2024-02-29,105.34290959419441,103.3974552177358
2024-03-01,105.67459601843883,103.63870720503778
